Major,Course,Score,Grade,Evaluation
CS,CS_101,87.89,B,7
CS,CS_102,69.85,D,7
CS,CS_103,57.8,F,3
CS,CS_101,81.06,B,8
CS,CS_102,56.18,F,5
CS,CS_103,78.35,C,6
CS,CS_101,77.04,C,8
CS,CS_102,49.12,F,5
CS,CS_103,58.73,F,8
CS,CS_101,71.95,C,6
CS,CS_102,70.6,C,7
CS,CS_103,61.13,D,6
CS,CS_101,92.98,A,9
CS,CS_102,62.47,D,6
CS,CS_103,86.76,B,8
CS,CS_101,78.65,C,6
CS,CS_102,68.77,D,8
CS,CS_103,60.11,D,7
CS,CS_101,73,C,6
CS,CS_102,72.17,C,6
CS,CS_103,65.42,D,5
CS,CS_101,81.5,B,7
CS,CS_102,76.28,C,8
CS,CS_103,94.45,A,10
CS,CS_101,78.13,C,8
CS,CS_102,77,C,6
CS,CS_103,88.9,B,9
CS,CS_101,69.56,D,6
CS,CS_102,53.06,F,7
CS,CS_103,60.25,D,5
CS,CS_101,76.61,C,6
CS,CS_102,87.37,B,8
CS,CS_103,76.67,C,8
CS,CS_101,82.08,B,8
CS,CS_102,65.8,D,6
CS,CS_103,76.6,C,7
CS,CS_101,53.7,F,4
CS,CS_102,76.58,C,6
CS,CS_103,65.76,D,7
CS,CS_101,76.27,C,9
CS,CS_102,81.51,B,7
CS,CS_103,74.92,C,7
CS,CS_101,80.65,B,8
CS,CS_102,72.94,C,7
CS,CS_103,56.13,F,7
CS,CS_101,61.47,D,6
CS,CS_102,78.61,C,10
CS,CS_103,66.66,D,5
CS,CS_101,69.04,D,7
CS,CS_102,74.59,C,10
CS,CS_103,70.74,C,7
CS,CS_101,66.14,D,7
CS,CS_102,54.48,F,4
CS,CS_103,58.82,F,8
CS,CS_101,71.56,C,9
CS,CS_102,73.98,C,7
CS,CS_103,49.04,F,6
CS,CS_101,85.19,B,9
CS,CS_102,74.1,C,7
CS,CS_103,71.79,C,8
CS,CS_101,72.99,C,7
CS,CS_102,69.22,D,7
CS,CS_103,84,B,7
CS,CS_101,79.96,C,10
CS,CS_102,63.54,D,8
CS,CS_103,64.15,D,9
CS,CS_101,73.02,C,7
CS,CS_102,68.03,D,8
CS,CS_103,70.72,C,7
CS,CS_101,80.98,B,8
CS,CS_102,56.53,F,7
CS,CS_103,80.61,B,8
CS,CS_101,71.12,C,8
CS,CS_102,80.66,B,7
CS,CS_103,72.12,C,7
CS,CS_101,64.54,D,7
CS,CS_102,78.13,C,8
CS,CS_103,69.79,D,7
CS,CS_101,76.61,C,9
CS,CS_102,63.42,D,5
CS,CS_103,66.54,D,7
CS,CS_101,76.62,C,7
CS,CS_102,71.42,C,6
CS,CS_103,59.77,F,6
CS,CS_101,77.52,C,9
CS,CS_102,69.67,D,6
CS,CS_103,74.11,C,7
CS,CS_101,58.67,F,7
CS,CS_102,82.98,B,8
CS,CS_103,63.3,D,7
CS,CS_101,70.7,C,8
CS,CS_102,67.24,D,7
CS,CS_103,53.62,F,3
CS,CS_101,52.03,F,6
CS,CS_102,71.35,C,6
CS,CS_103,57.77,F,5
CS,CS_101,58.79,F,6
CS,CS_102,53.67,F,6
CS,CS_103,52.53,F,5
CS,CS_101,65.91,D,6
CS,CS_102,78.81,C,8
CS,CS_103,66.92,D,6
CS,CS_101,69.97,D,8
CS,CS_102,79.5,C,9
CS,CS_103,55.19,F,6
CS,CS_101,79.31,C,10
CS,CS_102,67.07,D,8
CS,CS_103,83.71,B,8
CS,CS_101,72.93,C,9
CS,CS_102,73.15,C,7
CS,CS_103,56,F,7
CS,CS_101,54.42,F,5
CS,CS_102,81.14,B,9
CS,CS_103,66.25,D,8
CS,CS_101,77.19,C,8
CS,CS_102,72.11,C,8
CS,CS_103,82.69,B,8
CS,CS_101,60.1,D,5
CS,CS_102,68.7,D,6
CS,CS_103,74.27,C,8
CS,CS_101,70.07,C,8
CS,CS_102,83.62,B,10
CS,CS_103,72.91,C,8
CS,CS_101,61.41,D,6
CS,CS_102,58.61,F,5
CS,CS_103,75.06,C,8
CS,CS_101,69.24,D,7
CS,CS_102,68.49,D,7
CS,CS_103,68.44,D,7
CS,CS_101,62.74,D,7
CS,CS_102,48.21,F,5
CS,CS_103,59.98,F,6
CS,CS_101,75.98,C,8
CS,CS_102,76.96,C,7
CS,CS_103,78.52,C,8
CS,CS_101,78.23,C,8
CS,CS_102,87.07,B,9
CS,CS_103,52.99,F,5
CS,CS_101,61.8,D,8
CS,CS_102,69.62,D,6
CS,CS_103,74.39,C,5
CS,CS_101,76.18,C,8
CS,CS_102,61.99,D,6
CS,CS_103,72.42,C,7
CS,CS_101,61.13,D,6
CS,CS_102,71.14,C,8
CS,CS_103,73.87,C,6
CS,CS_101,62.21,D,5
CS,CS_102,77.84,C,8
CS,CS_103,55.77,F,4
CS,CS_101,94.52,A,9
CS,CS_102,75.69,C,8
CS,CS_103,84.12,B,7
CS,CS_101,60.02,D,6
CS,CS_102,46.53,F,5
CS,CS_103,55.01,F,4
CS,CS_101,84.68,B,8
CS,CS_102,60.67,D,7
CS,CS_103,70.45,C,6
CS,CS_101,72.82,C,9
CS,CS_102,64.33,D,6
CS,CS_103,60.69,D,6
CS,CS_101,78.01,C,6
CS,CS_102,81.59,B,8
CS,CS_103,76.36,C,8
CS,CS_101,77.34,C,8
CS,CS_102,82.44,B,9
CS,CS_103,83.28,B,9
CS,CS_101,78.1,C,7
CS,CS_102,84.19,B,8
CS,CS_103,73.95,C,7
CS,CS_101,69.06,D,5
CS,CS_102,71.19,C,7
CS,CS_103,62.05,D,7
CS,CS_101,73,C,9
CS,CS_102,71.09,C,8
CS,CS_103,56.87,F,6
CS,CS_101,81.22,B,8
CS,CS_102,50.78,F,5
CS,CS_103,76.78,C,9
CS,CS_101,63.33,D,6
CS,CS_102,68.73,D,8
CS,CS_103,71.45,C,5
CS,CS_101,79.6,C,9
CS,CS_102,81.87,B,6
CS,CS_103,57.32,F,5
CS,CS_101,72.89,C,8
CS,CS_102,56.61,F,6
CS,CS_103,46.31,F,4
CS,CS_101,48.96,F,4
CS,CS_102,70.96,C,6
CS,CS_103,82.4,B,8
CS,CS_101,60.67,D,5
CS,CS_102,64.94,D,7
CS,CS_103,71.11,C,9
CS,CS_101,64.65,D,7
CS,CS_102,58.22,F,6
CS,CS_103,64.73,D,6
CS,CS_101,63.92,D,5
CS,CS_102,67.87,D,8
CS,CS_103,60.06,D,8
CS,CS_101,69.95,D,8
CS,CS_102,75.16,C,7
CS,CS_103,61.79,D,6
CS,CS_101,85.3,B,9
CS,CS_102,83.41,B,8
CS,CS_103,64.55,D,7
CS,CS_101,68.56,D,7
CS,CS_102,62.16,D,6
CS,CS_103,70.1,C,8
CS,CS_101,76.49,C,8
CS,CS_102,66.74,D,7
CS,CS_103,77.85,C,7
CS,CS_101,73.29,C,6
CS,CS_102,76.96,C,8
CS,CS_103,52.82,F,7
CS,CS_101,79.33,C,7
CS,CS_102,61.65,D,5
CS,CS_103,59.32,F,7
CS,CS_101,76.37,C,8
CS,CS_102,76.21,C,6
CS,CS_103,66.83,D,5
CS,CS_101,83.69,B,9
CS,CS_102,66.24,D,5
CS,CS_103,72.84,C,8
CS,CS_101,66.73,D,6
CS,CS_102,80.71,B,9
CS,CS_103,43.94,F,4
CS,CS_101,57.93,F,6
CS,CS_102,74,C,7
CS,CS_103,64.94,D,5
CS,CS_101,81.24,B,7
CS,CS_102,63.43,D,7
CS,CS_103,67.39,D,7
CS,CS_101,82.75,B,8
CS,CS_102,76.53,C,8
CS,CS_103,63.93,D,6
CS,CS_101,45.87,F,3
CS,CS_102,70.63,C,8
CS,CS_103,84.22,B,8
CS,CS_101,76.28,C,7
CS,CS_102,85.85,B,8
CS,CS_103,58.74,F,6
CS,CS_101,87.07,B,9
CS,CS_102,70.46,C,7
CS,CS_103,80.08,B,8
CS,CS_101,80.15,B,9
CS,CS_102,67.73,D,8
CS,CS_103,38.37,F,2
CS,CS_101,62.01,D,6
CS,CS_102,61.17,D,5
CS,CS_103,88.9,B,9
CS,CS_101,81,B,7
CS,CS_102,76.44,C,7
CS,CS_103,63.49,D,6
CS,CS_101,78,C,8
CS,CS_102,70.18,C,8
CS,CS_103,54.04,F,6
CS,CS_101,54.27,F,5
CS,CS_102,64.48,D,5
CS,CS_103,85.86,B,8
CS,CS_101,72.28,C,7
CS,CS_102,52.87,F,5
CS,CS_103,75.4,C,8
CS,CS_101,64.8,D,6
CS,CS_102,64.93,D,7
CS,CS_103,60.04,D,7
CS,CS_101,58.77,F,5
CS,CS_102,70.19,C,8
CS,CS_103,61.87,D,7
CS,CS_101,68.69,D,8
CS,CS_102,77.22,C,7
CS,CS_103,62.4,D,5
CS,CS_101,55.39,F,8
CS,CS_102,66,D,8
CS,CS_103,54.72,F,5
CS,CS_101,84.38,B,10
CS,CS_102,76.79,C,9
CS,CS_103,55.48,F,5
CS,CS_101,70.55,C,7
CS,CS_102,54.22,F,5
CS,CS_103,80.41,B,10
ME,ME_101,79.45,C,9
ME,ME_102,57.96,F,6
ME,ME_103,56.78,F,7
ME,ME_101,88.64,B,10
ME,ME_102,71.62,C,7
ME,ME_103,61.4,D,8
ME,ME_101,49,F,5
ME,ME_102,72.89,C,7
ME,ME_103,55.29,F,5
ME,ME_101,53.84,F,6
ME,ME_102,62.32,D,5
ME,ME_103,68.67,D,7
ME,ME_101,51.47,F,4
ME,ME_102,53.48,F,3
ME,ME_103,56.74,F,5
ME,ME_101,85.14,B,9
ME,ME_102,73.78,C,7
ME,ME_103,50.32,F,4
ME,ME_101,45.75,F,6
ME,ME_102,58.2,F,5
ME,ME_103,48.66,F,4
ME,ME_101,61.68,D,5
ME,ME_102,72.16,C,8
ME,ME_103,65.88,D,6
ME,ME_101,56.65,F,6
ME,ME_102,50,F,7
ME,ME_103,63.54,D,7
ME,ME_101,87.49,B,10
ME,ME_102,37.09,F,5
ME,ME_103,40.38,F,4
ME,ME_101,66.69,D,7
ME,ME_102,81.62,B,8
ME,ME_103,63.99,D,4
ME,ME_101,81.53,B,8
ME,ME_102,36.05,F,4
ME,ME_103,97.61,A,10
ME,ME_101,66.47,D,7
ME,ME_102,62.48,D,6
ME,ME_103,65.34,D,8
ME,ME_101,62.31,D,7
ME,ME_102,68.92,D,8
ME,ME_103,76.91,C,7
ME,ME_101,68.35,D,6
ME,ME_102,62.64,D,7
ME,ME_103,52.84,F,5
ME,ME_101,44.96,F,7
ME,ME_102,68.95,D,8
ME,ME_103,50.65,F,4
ME,ME_101,71.22,C,7
ME,ME_102,65.26,D,7
ME,ME_103,64.72,D,6
ME,ME_101,76.24,C,7
ME,ME_102,71.44,C,6
ME,ME_103,50.17,F,6
ME,ME_101,59.28,F,3
ME,ME_102,62.85,D,5
ME,ME_103,60.97,D,7
ME,ME_101,76.92,C,7
ME,ME_102,43.52,F,4
ME,ME_103,66.64,D,6
ME,ME_101,73.95,C,8
ME,ME_102,63.94,D,6
ME,ME_103,63,D,5
ME,ME_101,46.78,F,4
ME,ME_102,78.23,C,8
ME,ME_103,87.73,B,9
ME,ME_101,60.37,D,6
ME,ME_102,51.67,F,4
ME,ME_103,84.57,B,9
ME,ME_101,47.11,F,4
ME,ME_102,80.44,B,7
ME,ME_103,63.51,D,6
ME,ME_101,69.57,D,7
ME,ME_102,74.97,C,8
ME,ME_103,70.97,C,7
ME,ME_101,55.2,F,5
ME,ME_102,74.03,C,8
ME,ME_103,44.78,F,5
ME,ME_101,72.76,C,7
ME,ME_102,89.61,B,8
ME,ME_103,58.92,F,5
ME,ME_101,62.87,D,6
ME,ME_102,62.31,D,6
ME,ME_103,67.18,D,8
ME,ME_101,66.56,D,6
ME,ME_102,69.89,D,7
ME,ME_103,76.43,C,7
ME,ME_101,65.37,D,7
ME,ME_102,84.99,B,8
ME,ME_103,73.37,C,7
ME,ME_101,41.89,F,6
ME,ME_102,86.11,B,8
ME,ME_103,63.45,D,7
ME,ME_101,70.48,C,8
ME,ME_102,57.68,F,8
ME,ME_103,69.98,D,6
ME,ME_101,72.97,C,8
ME,ME_102,73.25,C,6
ME,ME_103,66.59,D,7
ME,ME_101,81.88,B,7
ME,ME_102,58.61,F,5
ME,ME_103,71.59,C,7
ME,ME_101,54.36,F,6
ME,ME_102,62.05,D,5
ME,ME_103,52.21,F,4
ME,ME_101,79.75,C,8
ME,ME_102,77.33,C,7
ME,ME_103,68.36,D,7
ME,ME_101,89.85,B,10
ME,ME_102,98.49,A,10
ME,ME_103,74.65,C,6
ME,ME_101,73.33,C,7
ME,ME_102,56.45,F,7
ME,ME_103,54.34,F,4
ME,ME_101,62.9,D,6
ME,ME_102,74.58,C,8
ME,ME_103,62.44,D,5
ME,ME_101,60.15,D,6
ME,ME_102,60,D,6
ME,ME_103,86.69,B,9
ME,ME_101,68.99,D,6
ME,ME_102,74.92,C,7
ME,ME_103,78.21,C,8
ME,ME_101,78.59,C,7
ME,ME_102,55.83,F,6
ME,ME_103,67.8,D,7
ME,ME_101,68.57,D,6
ME,ME_102,67.12,D,8
ME,ME_103,74.37,C,6
ME,ME_101,85.54,B,7
ME,ME_102,70.48,C,7
ME,ME_103,73.29,C,8
ME,ME_101,61.4,D,5
ME,ME_102,70.65,C,8
ME,ME_103,62.42,D,6
ME,ME_101,97.3,A,10
ME,ME_102,73.37,C,8
ME,ME_103,73.41,C,6
ME,ME_101,70.97,C,7
ME,ME_102,61.45,D,6
ME,ME_103,55.36,F,4
ME,ME_101,61.86,D,6
ME,ME_102,79.04,C,7
ME,ME_103,64.84,D,3
ME,ME_101,41.94,F,5
ME,ME_102,59.68,F,8
ME,ME_103,69.94,D,6
ME,ME_101,66.24,D,8
ME,ME_102,88.96,B,7
ME,ME_103,70.75,C,7
ME,ME_101,59.65,F,5
ME,ME_102,75.28,C,7
ME,ME_103,61.89,D,4
ME,ME_101,55.89,F,5
ME,ME_102,68.22,D,6
ME,ME_103,56.01,F,6
ME,ME_101,44.99,F,4
ME,ME_102,42.31,F,4
ME,ME_103,68.51,D,9
ME,ME_101,76.36,C,9
ME,ME_102,39.54,F,4
ME,ME_103,71.42,C,9
ME,ME_101,55.09,F,5
ME,ME_102,63.97,D,6
ME,ME_103,53.09,F,4
ME,ME_101,100,A,9
ME,ME_102,100,A,9
ME,ME_103,51.18,F,6
ME,ME_101,68.48,D,5
ME,ME_102,63.15,D,6
ME,ME_103,71.57,C,7
ME,ME_101,60.84,D,5
ME,ME_102,57.9,F,5
ME,ME_103,80.56,B,8
ME,ME_101,48.58,F,5
ME,ME_102,68.14,D,8
ME,ME_103,50.47,F,5
ME,ME_101,63.94,D,7
ME,ME_102,64.44,D,5
ME,ME_103,80.41,B,8
ME,ME_101,85.48,B,9
ME,ME_102,67.36,D,9
ME,ME_103,50.4,F,5
ME,ME_101,62.06,D,7
ME,ME_102,46.65,F,6
ME,ME_103,63.36,D,3
ME,ME_101,77.23,C,8
ME,ME_102,57.17,F,6
ME,ME_103,64.84,D,6
ME,ME_101,52.14,F,5
ME,ME_102,66.88,D,7
ME,ME_103,49.84,F,6
ME,ME_101,76.43,C,8
ME,ME_102,54.91,F,7
ME,ME_103,73.16,C,6
ME,ME_101,60.32,D,6
ME,ME_102,83.31,B,7
ME,ME_103,50.81,F,5
ME,ME_101,93.01,A,10
ME,ME_102,70.03,C,7
ME,ME_103,80.13,B,8
ME,ME_101,67.98,D,7
ME,ME_102,68.34,D,6
ME,ME_103,68.61,D,8
ME,ME_101,53.31,F,3
ME,ME_102,51.08,F,6
ME,ME_103,66.58,D,6
ME,ME_101,77.13,C,8
ME,ME_102,59.78,F,7
ME,ME_103,78.84,C,9
ME,ME_101,45.24,F,3
ME,ME_102,83.08,B,8
ME,ME_103,64.69,D,6
ME,ME_101,50.55,F,6
ME,ME_102,62.46,D,7
ME,ME_103,56.65,F,4
ME,ME_101,81.63,B,8
ME,ME_102,49.96,F,4
ME,ME_103,17.21,F,2
ME,ME_101,63.99,D,5
ME,ME_102,46.47,F,4
ME,ME_103,71.81,C,8
ME,ME_101,63.74,D,6
ME,ME_102,52.39,F,5
ME,ME_103,47.34,F,3
ME,ME_101,70.76,C,8
ME,ME_102,74.32,C,6
ME,ME_103,77.61,C,8
ME,ME_101,85.49,B,9
ME,ME_102,85.32,B,9
ME,ME_103,62.42,D,7
ME,ME_101,57.96,F,5
ME,ME_102,82.92,B,9
ME,ME_103,53.3,F,4
ME,ME_101,53.75,F,6
ME,ME_102,63.29,D,6
ME,ME_103,64.4,D,6
ME,ME_101,67.95,D,7
ME,ME_102,53.09,F,6
ME,ME_103,49.98,F,5
ME,ME_101,49.95,F,5
ME,ME_102,73.16,C,9
ME,ME_103,57.93,F,7
ME,ME_101,68.39,D,7
ME,ME_102,74.84,C,7
ME,ME_103,54.78,F,7
ME,ME_101,66.3,D,5
ME,ME_102,59.18,F,6
ME,ME_103,52.75,F,5
ME,ME_101,63.52,D,6
ME,ME_102,81.81,B,8
ME,ME_103,69.28,D,8
ME,ME_101,77.42,C,9
ME,ME_102,47.63,F,4
ME,ME_103,74.12,C,6
ME,ME_101,75.45,C,7
ME,ME_102,72.88,C,7
ME,ME_103,72.69,C,9
ME,ME_101,87.46,B,9
ME,ME_102,74.14,C,8
ME,ME_103,70.64,C,7
ME,ME_101,55.07,F,6
ME,ME_102,50.56,F,6
ME,ME_103,61.45,D,6
ME,ME_101,67.87,D,5
ME,ME_102,65.48,D,5
ME,ME_103,71.31,C,7
ME,ME_101,76.99,C,9
ME,ME_102,60.71,D,4
ME,ME_103,59.9,F,5
ME,ME_101,65.86,D,8
ME,ME_102,68.72,D,7
ME,ME_103,75.36,C,5
ME,ME_101,75.8,C,7
ME,ME_102,68.39,D,7
ME,ME_103,61.93,D,5
ME,ME_101,80.23,B,8
ME,ME_102,81.12,B,8
ME,ME_103,69.9,D,6
ME,ME_101,75.88,C,7
ME,ME_102,65.23,D,7
ME,ME_103,93.27,A,9
ME,ME_101,72.89,C,7
ME,ME_102,71.77,C,8
ME,ME_103,48.35,F,5
ME,ME_101,37.74,F,3
ME,ME_102,76.8,C,9
ME,ME_103,56.56,F,6
ME,ME_101,74.9,C,8
ME,ME_102,55.92,F,6
ME,ME_103,54.4,F,5
ME,ME_101,54.38,F,6
ME,ME_102,64.17,D,6
ME,ME_103,60.83,D,6
ME,ME_101,49.11,F,4
ME,ME_102,60.93,D,5
ME,ME_103,47.54,F,5
ME,ME_101,67.58,D,7
ME,ME_102,58.73,F,6
ME,ME_103,50.96,F,6
BA,BA_101,72.78,C,8
BA,BA_102,82.57,B,6
BA,BA_103,58.82,F,7
BA,BA_101,71.83,C,7
BA,BA_102,78.56,C,9
BA,BA_103,73.2,C,6
BA,BA_101,96.27,A,9
BA,BA_102,68.47,D,6
BA,BA_103,68.28,D,7
BA,BA_101,61.34,D,4
BA,BA_102,83.51,B,7
BA,BA_103,77.4,C,8
BA,BA_101,73.32,C,6
BA,BA_102,78.66,C,6
BA,BA_103,54.14,F,7
BA,BA_101,76.81,C,8
BA,BA_102,73.9,C,7
BA,BA_103,87.85,B,9
BA,BA_101,75.75,C,8
BA,BA_102,50.71,F,6
BA,BA_103,75.42,C,6
BA,BA_101,68.17,D,6
BA,BA_102,83.27,B,7
BA,BA_103,65.45,D,5
BA,BA_101,75.1,C,5
BA,BA_102,85.21,B,8
BA,BA_103,81.55,B,8
BA,BA_101,75.77,C,8
BA,BA_102,86.72,B,9
BA,BA_103,55.13,F,6
BA,BA_101,71.95,C,7
BA,BA_102,71.15,C,8
BA,BA_103,85.48,B,9
BA,BA_101,75.8,C,7
BA,BA_102,68.89,D,7
BA,BA_103,77.7,C,7
BA,BA_101,88.53,B,10
BA,BA_102,68.61,D,7
BA,BA_103,59.68,F,6
BA,BA_101,57.85,F,8
BA,BA_102,77.76,C,6
BA,BA_103,82.58,B,10
BA,BA_101,81.03,B,8
BA,BA_102,74.32,C,7
BA,BA_103,80.9,B,7
BA,BA_101,68.88,D,7
BA,BA_102,74.84,C,6
BA,BA_103,70.79,C,7
BA,BA_101,66.09,D,7
BA,BA_102,86.92,B,8
BA,BA_103,81.81,B,6
BA,BA_101,89.29,B,8
BA,BA_102,70.26,C,6
BA,BA_103,80.09,B,9
BA,BA_101,71.71,C,6
BA,BA_102,78.9,C,10
BA,BA_103,63.42,D,6
BA,BA_101,86.91,B,8
BA,BA_102,78.73,C,8
BA,BA_103,79.48,C,8
BA,BA_101,85.77,B,9
BA,BA_102,76.31,C,8
BA,BA_103,63.63,D,7
BA,BA_101,71.21,C,7
BA,BA_102,73.64,C,7
BA,BA_103,61.91,D,8
BA,BA_101,82.11,B,6
BA,BA_102,78.29,C,9
BA,BA_103,66.39,D,7
BA,BA_101,77.49,C,8
BA,BA_102,66.64,D,6
BA,BA_103,80.65,B,6
BA,BA_101,87.07,B,8
BA,BA_102,78.42,C,9
BA,BA_103,89.35,B,8
BA,BA_101,75.22,C,9
BA,BA_102,82.56,B,8
BA,BA_103,75.27,C,8
BA,BA_101,79.63,C,9
BA,BA_102,76.7,C,8
BA,BA_103,70.57,C,6
BA,BA_101,70.12,C,9
BA,BA_102,72.73,C,7
BA,BA_103,63.45,D,7
BA,BA_101,68.37,D,5
BA,BA_102,66.31,D,6
BA,BA_103,92.86,A,9
BA,BA_101,97.36,A,10
BA,BA_102,69.88,D,7
BA,BA_103,63.49,D,6
BA,BA_101,78.5,C,7
BA,BA_102,100,A,10
BA,BA_103,62,D,6
BA,BA_101,74.58,C,7
BA,BA_102,83.97,B,8
BA,BA_103,85.93,B,10
BA,BA_101,81.25,B,8
BA,BA_102,77.6,C,8
BA,BA_103,80.34,B,9
BA,BA_101,68.24,D,7
BA,BA_102,80.89,B,7
BA,BA_103,77.13,C,9
BA,BA_101,82.2,B,8
BA,BA_102,83.82,B,6
BA,BA_103,64.69,D,7
BA,BA_101,90.43,A,8
BA,BA_102,69.99,D,9
BA,BA_103,68.72,D,7
BA,BA_101,61.06,D,5
BA,BA_102,85.4,B,8
BA,BA_103,57.35,F,6
BA,BA_101,71.88,C,7
BA,BA_102,86.92,B,8
BA,BA_103,86.57,B,8
BA,BA_101,72.76,C,6
BA,BA_102,85.55,B,10
BA,BA_103,68.7,D,6
BA,BA_101,81.93,B,7
BA,BA_102,62.74,D,8
BA,BA_103,60.51,D,7
BA,BA_101,73.31,C,10
BA,BA_102,65.45,D,7
BA,BA_103,75.38,C,7
BA,BA_101,69.31,D,6
